OriginalVariableNames,Var1
id_obj,1
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,14.142135623731
Location_Point_Y,92.4264068711929
Density,0.1
id_obj,2
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,0
Location_Point_Y,85.3553390593274
Density,0.1
id_obj,3
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,7.07106781186548
Location_Point_Y,92.4264068711929
Density,0.1
id_obj,4
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,0
Location_Point_Y,71.2132034355964
Density,0.1
id_obj,5
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,35.3553390593274
Location_Point_Y,64.142135623731
Density,0.1
id_obj,6
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,64.142135623731
Location_Point_Y,96.5685424949238
Density,0.1
id_obj,7
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,71.2132034355964
Location_Point_Y,47.0710678118655
Density,0.1
id_obj,8
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,49.4974746830583
Location_Point_Y,92.4264068711929
Density,0.1
id_obj,9
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,21.2132034355964
Location_Point_Y,50
Density,0.1
id_obj,10
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,57.0710678118655
Location_Point_Y,89.4974746830583
Density,0.1
