OriginalVariableNames,Var1
id_obj,1
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,7.07106781186548
Location_Point_Y,85.3553390593274
Density,0.1
id_obj,2
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,57.0710678118655
Location_Point_Y,82.4264068711929
Density,0.1
id_obj,3
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,78.2842712474619
Location_Point_Y,47.0710678118655
Density,0.1
id_obj,4
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,99.4974746830583
Location_Point_Y,89.4974746830583
Density,0.1
id_obj,5
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,99.4974746830583
Location_Point_Y,96.5685424949238
Density,0.1
