OriginalVariableNames,Var1
id_obj,1
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,94.2718872423573
Location_Point_Y,62.1359436211787
Density,0.1
id_obj,2
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,0
Location_Point_Y,97.4341649025257
Density,0.1
id_obj,3
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,12.6491106406735
Location_Point_Y,59.4868329805051
Density,0.1
id_obj,4
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,28.4604989415154
Location_Point_Y,72.1359436211787
Density,0.1
id_obj,5
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,37.9473319220205
Location_Point_Y,75.298221281347
Density,0.1
