OriginalVariableNames,Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10
id_obj,1,,,,,,,,,
Obj_Sea,1,,,,,,,,,
Obj_Air,1,,,,,,,,,
Obj_Land,1,,,,,,,,,
Location_Poly_X,74.2441764400575,69.2441764400575,64.2441764400575,69.2441764400575,,,,,,
Location_Poly_Y,55.904887053848,60.904887053848,55.904887053848,50.904887053848,,,,,,
Location_Point_X,66.4802444175573,66.4802444175573,68.7163123950571,68.7163123950571,68.7163123950571,68.7163123950571,70.9523803725568,70.9523803725568,70.9523803725568,73.1884483500566
Location_Point_Y,55.3770230088476,57.6130909863473,53.1409550313478,55.3770230088476,57.6130909863473,59.8491589638471,53.1409550313478,55.3770230088476,57.6130909863473,55.3770230088476
Density,0.1,,,,,,,,,
WindSpeed,6,,,,,,,,,
WindDirectionDegree,66,,,,,,,,,
id_obj,2,,,,,,,,,
Obj_Sea,1,,,,,,,,,
Obj_Air,1,,,,,,,,,
Obj_Land,1,,,,,,,,,
Location_Poly_X,36.4172850682495,31.4172850682495,26.4172850682495,31.4172850682495,,,,,,
Location_Poly_Y,63.5590452447222,68.5590452447222,63.5590452447222,58.5590452447222,,,,,,
Location_Point_X,28.6533530457493,28.6533530457493,30.8894210232491,30.8894210232491,30.8894210232491,30.8894210232491,33.1254890007489,33.1254890007489,33.1254890007489,35.3615569782487
Location_Point_Y,63.0311811997218,65.2672491772216,60.795113222222,63.0311811997218,65.2672491772216,67.5033171547213,60.795113222222,63.0311811997218,65.2672491772216,63.0311811997218
Density,0.1,,,,,,,,,
WindSpeed,2,,,,,,,,,
WindDirectionDegree,320,,,,,,,,,
id_obj,3,,,,,,,,,
Obj_Sea,1,,,,,,,,,
Obj_Air,1,,,,,,,,,
Obj_Land,1,,,,,,,,,
Location_Poly_X,81.3152442519229,76.3152442519229,71.3152442519229,76.3152442519229,,,,,,
Location_Poly_Y,77.1180904894444,82.1180904894444,77.1180904894444,72.1180904894444,,,,,,
Location_Point_X,73.5513122294227,73.5513122294227,75.7873802069225,75.7873802069225,75.7873802069225,75.7873802069225,78.0234481844223,78.0234481844223,78.0234481844223,80.2595161619221
Location_Point_Y,76.590226444444,78.8262944219438,74.3541584669442,76.590226444444,78.8262944219438,81.0623623994436,74.3541584669442,76.590226444444,78.8262944219438,76.590226444444
Density,0.1,,,,,,,,,
WindSpeed,0,,,,,,,,,
WindDirectionDegree,176,,,,,,,,,
id_obj,4,,,,,,,,,
Obj_Sea,1,,,,,,,,,
Obj_Air,1,,,,,,,,,
Obj_Land,1,,,,,,,,,
Location_Poly_X,81.3152442519229,76.3152442519229,71.3152442519229,76.3152442519229,,,,,,
Location_Poly_Y,70.0470226775789,75.0470226775789,70.0470226775789,65.0470226775789,,,,,,
Location_Point_X,73.5513122294227,73.5513122294227,75.7873802069225,75.7873802069225,75.7873802069225,75.7873802069225,78.0234481844223,78.0234481844223,78.0234481844223,80.2595161619221
Location_Point_Y,69.5191586325785,71.7552266100783,67.2830906550787,69.5191586325785,71.7552266100783,73.9912945875781,67.2830906550787,69.5191586325785,71.7552266100783,69.5191586325785
Density,0.1,,,,,,,,,
WindSpeed,1,,,,,,,,,
WindDirectionDegree,353,,,,,,,,,
