OriginalVariableNames,Var1
id_obj,1
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,35.3615569782487
Location_Point_Y,63.0311811997218
Density,0.1
WindSpeed,7
WindDirectionDegree,180
id_obj,2
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,78.0234481844223
Location_Point_Y,67.2830906550787
Density,0.1
WindSpeed,5
WindDirectionDegree,21
id_obj,3
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,75.7873802069225
Location_Point_Y,78.8262944219438
Density,0.1
WindSpeed,7
WindDirectionDegree,15
