OriginalVariableNames,Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10
id_obj,1,,,,,,,,,
Obj_Sea,1,,,,,,,,,
Obj_Air,1,,,,,,,,,
Obj_Land,1,,,,,,,,,
Location_Poly_X,40.5023029140001,35.5023029140001,30.5023029140001,35.5023029140001,,,,,,
Location_Poly_Y,71.5528532421699,76.5528532421699,71.5528532421699,66.5528532421699,,,,,,
Location_Point_X,32.7383708914999,32.7383708914999,34.9744388689997,34.9744388689997,34.9744388689997,34.9744388689997,37.2105068464995,37.2105068464995,37.2105068464995,39.4465748239993
Location_Point_Y,71.0249891971695,73.2610571746693,68.7889212196697,71.0249891971695,73.2610571746693,75.497125152169,68.7889212196697,71.0249891971695,73.2610571746693,71.0249891971695
Density,0.1,,,,,,,,,
WindSpeed,5,,,,,,,,,
WindDirectionDegree,30,,,,,,,,,
id_obj,2,,,,,,,,,
Obj_Sea,1,,,,,,,,,
Obj_Air,1,,,,,,,,,
Obj_Land,1,,,,,,,,,
Location_Poly_X,24.6909146131582,19.6909146131582,14.6909146131582,19.6909146131582,,,,,,
Location_Poly_Y,74.7151309023383,79.7151309023383,74.7151309023383,69.7151309023383,,,,,,
Location_Point_X,16.926982590658,16.926982590658,19.1630505681578,19.1630505681578,19.1630505681578,19.1630505681578,21.3991185456576,21.3991185456576,21.3991185456576,23.6351865231574
Location_Point_Y,74.1872668573378,76.4233348348376,71.9511988798381,74.1872668573378,76.4233348348376,78.6594028123374,71.9511988798381,74.1872668573378,76.4233348348376,74.1872668573378
Density,0.1,,,,,,,,,
WindSpeed,2,,,,,,,,,
WindDirectionDegree,289,,,,,,,,,
id_obj,3,,,,,,,,,
Obj_Sea,1,,,,,,,,,
Obj_Air,1,,,,,,,,,
Obj_Land,1,,,,,,,,,
Location_Poly_X,31.015469933495,26.015469933495,21.015469933495,26.015469933495,,,,,,
Location_Poly_Y,77.8774085625066,82.8774085625066,77.8774085625066,72.8774085625066,,,,,,
Location_Point_X,23.2515379109947,23.2515379109947,25.4876058884945,25.4876058884945,25.4876058884945,25.4876058884945,27.7236738659943,27.7236738659943,27.7236738659943,29.9597418434941
Location_Point_Y,77.3495445175062,79.585612495006,75.1134765400064,77.3495445175062,79.585612495006,81.8216804725058,75.1134765400064,77.3495445175062,79.585612495006,77.3495445175062
Density,0.1,,,,,,,,,
WindSpeed,0,,,,,,,,,
WindDirectionDegree,335,,,,,,,,,
id_obj,4,,,,,,,,,
Obj_Sea,1,,,,,,,,,
Obj_Air,1,,,,,,,,,
Obj_Land,1,,,,,,,,,
Location_Poly_X,85.4002620976735,80.4002620976735,75.4002620976735,80.4002620976735,,,,,,
Location_Poly_Y,80.4565958436663,85.4565958436663,80.4565958436663,75.4565958436663,,,,,,
Location_Point_X,77.6363300751733,77.6363300751733,79.8723980526731,79.8723980526731,79.8723980526731,79.8723980526731,82.1084660301729,82.1084660301729,82.1084660301729,84.3445340076727
Location_Point_Y,79.9287317986659,82.1647997761657,77.6926638211661,79.9287317986659,82.1647997761657,84.4008677536655,77.6926638211661,79.9287317986659,82.1647997761657,79.9287317986659
Density,0.1,,,,,,,,,
WindSpeed,8,,,,,,,,,
WindDirectionDegree,176,,,,,,,,,
