OriginalVariableNames,Var1
id_obj,1
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,34.9744388689997
Location_Point_Y,73.2610571746693
Density,0.1
WindSpeed,6
WindDirectionDegree,85
id_obj,2
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,37.2105068464995
Location_Point_Y,73.2610571746693
Density,0.1
WindSpeed,5
WindDirectionDegree,347
id_obj,3
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,27.7236738659943
Location_Point_Y,79.585612495006
Density,0.1
WindSpeed,6
WindDirectionDegree,188
