OriginalVariableNames,Var1
id_obj,1
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,88.563527403796
Location_Point_Y,74.6704114779586
Density,0.1
id_obj,2
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,41.2437678553281
Location_Point_Y,59.0611295178616
Density,0.1
id_obj,3
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,31.756934874823
Location_Point_Y,71.7102401585351
Density,0.1
id_obj,4
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,69.5898614427857
Location_Point_Y,80.9949667982953
Density,0.1
