OriginalVariableNames,Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
id_obj,1,,,,,,,,
Obj_Sea,0,,,,,,,,
Obj_Air,1,,,,,,,,
Obj_Land,1,,,,,,,,
Location_Poly_X,10,10,30,30,,,,,
Location_Poly_Y,40,60,60,40,,,,,
Location_Point_X,10,10,10,17.0710678118655,17.0710678118655,17.0710678118655,24.142135623731,24.142135623731,24.142135623731
Location_Point_Y,40,47.0710678118655,54.142135623731,40,47.0710678118655,54.142135623731,40,47.0710678118655,54.142135623731
Density,0.02,,,,,,,,
id_obj,2,,,,,,,,
Obj_Sea,0,,,,,,,,
Obj_Air,1,,,,,,,,
Obj_Land,1,,,,,,,,
Location_Poly_X,40,40,60,60,,,,,
Location_Poly_Y,60,40,40,60,,,,,
Location_Point_X,40,40,40,47.0710678118655,47.0710678118655,47.0710678118655,54.142135623731,54.142135623731,54.142135623731
Location_Point_Y,40,47.0710678118655,54.142135623731,40,47.0710678118655,54.142135623731,40,47.0710678118655,54.142135623731
Density,0.02,,,,,,,,
id_obj,3,,,,,,,,
Obj_Sea,0,,,,,,,,
Obj_Air,1,,,,,,,,
Obj_Land,1,,,,,,,,
Location_Poly_X,70,70,90,90,,,,,
Location_Poly_Y,60,40,40,60,,,,,
Location_Point_X,70,70,70,77.0710678118655,77.0710678118655,77.0710678118655,84.142135623731,84.142135623731,84.142135623731
Location_Point_Y,40,47.0710678118655,54.142135623731,40,47.0710678118655,54.142135623731,40,47.0710678118655,54.142135623731
Density,0.02,,,,,,,,
id_obj,4,,,,,,,,
Obj_Sea,0,,,,,,,,
Obj_Air,1,,,,,,,,
Obj_Land,1,,,,,,,,
Location_Poly_X,10,10,30,30,,,,,
Location_Poly_Y,90,70,70,90,,,,,
Location_Point_X,10,10,10,17.0710678118655,17.0710678118655,17.0710678118655,24.142135623731,24.142135623731,24.142135623731
Location_Point_Y,70,77.0710678118655,84.142135623731,70,77.0710678118655,84.142135623731,70,77.0710678118655,84.142135623731
Density,0.02,,,,,,,,
id_obj,5,,,,,,,,
Obj_Sea,0,,,,,,,,
Obj_Air,1,,,,,,,,
Obj_Land,1,,,,,,,,
Location_Poly_X,40,40,60,60,,,,,
Location_Poly_Y,90,70,70,90,,,,,
Location_Point_X,40,40,40,47.0710678118655,47.0710678118655,47.0710678118655,54.142135623731,54.142135623731,54.142135623731
Location_Point_Y,70,77.0710678118655,84.142135623731,70,77.0710678118655,84.142135623731,70,77.0710678118655,84.142135623731
Density,0.02,,,,,,,,
id_obj,6,,,,,,,,
Obj_Sea,0,,,,,,,,
Obj_Air,1,,,,,,,,
Obj_Land,1,,,,,,,,
Location_Poly_X,70,70,90,90,,,,,
Location_Poly_Y,90,70,70,90,,,,,
Location_Point_X,70,70,70,77.0710678118655,77.0710678118655,77.0710678118655,84.142135623731,84.142135623731,84.142135623731
Location_Point_Y,70,77.0710678118655,84.142135623731,70,77.0710678118655,84.142135623731,70,77.0710678118655,84.142135623731
Density,0.02,,,,,,,,
